pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type,release_pos_x,release_pos_y,zone,p_throws,balls,strikes,outs_when_up,inning
543037,field_out,NYY,LAD,Knuckle Curve,83.3,79.1,7.0,102.0,ground_ball,-2.52,54.37,13.0,R,1,1,0,7
543037,strikeout,NYY,LAD,Knuckle Curve,87.3,,,,,-2.74,54.1,13.0,R,1,2,1,5
543037,field_out,NYY,LAD,Changeup,90.4,88.2,29.0,317.0,fly_ball,-2.77,54.2,13.0,R,0,2,2,3
596133,catcher_interf,NYY,LAD,Changeup,89.7,,,,,-1.63,54.56,4.0,R,0,0,1,8
543037,field_out,NYY,LAD,4-Seam Fastball,95.6,93.2,45.0,289.0,fly_ball,-2.76,54.32,5.0,R,0,0,0,1
661563,field_out,NYY,LAD,Slider,86.6,102.0,30.0,379.0,fly_ball,-2.85,53.95,6.0,R,1,0,0,3
643410,strikeout,NYY,LAD,Split-Finger,85.7,,,,,-0.84,53.91,13.0,R,3,2,1,7
661563,field_out,NYY,LAD,Slider,87.5,83.9,58.0,173.0,popup,-2.62,53.82,5.0,R,3,2,0,1
657612,single,NYY,LAD,Sinker,88.9,103.8,14.0,266.0,line_drive,3.92,53.6,6.0,L,0,0,0,5
657376,field_out,NYY,LAD,Sinker,95.9,103.9,-17.0,9.0,ground_ball,-1.23,54.39,4.0,R,2,2,0,3
641482,strikeout,NYY,LAD,Cutter,88.2,,,,,1.19,54.41,13.0,L,3,2,1,4
657612,field_out,NYY,LAD,4-Seam Fastball,90.8,57.4,72.0,70.0,popup,3.85,53.7,6.0,L,2,2,0,7
657376,walk,NYY,LAD,Cutter,93.4,,,,,-1.42,54.5,11.0,R,3,0,0,1
596133,hit_by_pitch,NYY,LAD,Cutter,91.8,,,,,-1.45,54.4,14.0,R,1,1,1,9
607074,strikeout,LAD,NYY,Slider,89.1,,,,,1.91,54.44,13.0,L,1,2,1,3
605280,walk,LAD,NYY,Sinker,97.0,,,,,-0.53,54.25,13.0,R,3,1,1,7
664776,field_out,LAD,NYY,Sinker,94.4,101.1,-22.0,5.0,ground_ball,-3.21,53.51,7.0,R,0,0,2,4
607074,field_out,LAD,NYY,4-Seam Fastball,96.8,109.5,48.0,315.0,fly_ball,1.67,54.52,3.0,L,1,0,0,1
543037,field_out,LAD,NYY,Changeup,89.8,60.2,-61.0,2.0,ground_ball,-2.49,54.23,11.0,R,0,1,0,6
543037,strikeout,LAD,NYY,Knuckle Curve,84.4,,,,,-2.77,54.33,14.0,R,2,2,2,3
592454,double,LAD,NYY,Changeup,87.1,113.9,19.0,377.0,line_drive,-2.42,53.79,4.0,R,1,0,1,8
543037,field_out,LAD,NYY,4-Seam Fastball,95.8,106.0,36.0,372.0,fly_ball,-2.57,54.33,4.0,R,0,0,0,1
641482,field_out,LAD,NYY,4-Seam Fastball,92.4,83.3,48.0,234.0,fly_ball,0.7,54.53,5.0,L,0,0,1,10
640455,strikeout,LAD,NYM,4-Seam Fastball,94.2,,,,,4.3,53.44,3.0,L,2,2,1,2
673540,walk,LAD,NYM,4-Seam Fastball,96.7,,,,,-2.37,53.82,13.0,R,3,2,0,8
592773,single,LAD,NYM,4-Seam Fastball,98.4,79.7,25.0,265.0,line_drive,-0.46,54.52,2.0,R,3,2,0,6
640455,single,LAD,NYM,4-Seam Fastball,92.1,102.5,-3.0,28.0,ground_ball,4.24,53.33,4.0,L,2,2,0,1
621242,field_out,LAD,NYM,4-Seam Fastball,96.5,86.0,83.0,28.0,popup,-2.05,53.33,7.0,R,0,0,0,4
656849,single,NYM,LAD,Slider,85.0,68.6,41.0,208.0,popup,2.61,53.39,12.0,L,0,0,2,4
656849,walk,NYM,LAD,Sinker,94.5,,,,,2.12,53.23,11.0,L,3,2,2,2
621242,strikeout,NYM,LAD,4-Seam Fastball,99.2,,,,,-2.17,53.46,11.0,R,1,2,1,8
592773,strikeout,NYM,LAD,4-Seam Fastball,98.0,,,,,-0.47,54.5,1.0,R,2,2,2,5
656849,single,NYM,LAD,Curveball,83.3,101.9,-5.0,18.0,ground_ball,2.23,53.43,7.0,L,3,2,0,1
500779,walk,NYM,LAD,Changeup,85.1,,,,,2.44,54.21,13.0,L,3,2,1,4
500779,walk,NYM,LAD,Changeup,86.8,,,,,2.34,54.12,13.0,L,3,0,1,3
664849,strikeout,NYM,LAD,Sinker,91.7,,,,,3.34,54.49,7.0,L,1,2,2,8
676130,walk,NYM,LAD,Changeup,87.0,,,,,-2.39,54.33,11.0,R,3,0,1,6
664849,field_out,NYM,LAD,Sweeper,82.2,50.7,-32.0,3.0,ground_ball,3.77,54.6,13.0,L,1,2,2,7
500779,home_run,NYM,LAD,Sinker,90.8,117.8,22.0,422.0,fly_ball,2.43,54.32,5.0,L,1,0,0,1
622663,field_out,NYM,LAD,Sweeper,85.2,96.2,47.0,266.0,fly_ball,-2.11,54.27,12.0,R,1,0,0,5
622663,walk,NYM,LAD,4-Seam Fastball,96.7,,,,,-1.69,54.3,6.0,R,3,2,0,3
656731,home_run,NYM,LAD,Cutter,89.0,115.9,37.0,397.0,fly_ball,-2.57,53.12,9.0,R,0,1,1,8
657585,strikeout,NYM,LAD,Cutter,92.4,,,,,-2.43,54.36,14.0,R,0,2,2,6
622663,field_out,NYM,LAD,4-Seam Fastball,95.0,99.8,-7.0,15.0,ground_ball,-1.77,54.36,8.0,R,0,0,0,1
640455,field_out,LAD,NYM,Sweeper,79.3,73.5,68.0,120.0,popup,3.89,53.34,13.0,L,0,1,2,5
640455,strikeout,LAD,NYM,4-Seam Fastball,92.6,,,,,4.22,53.75,1.0,L,0,2,0,3
664208,walk,LAD,NYM,Cutter,87.9,,,,,-1.76,53.32,11.0,R,3,0,1,7
621242,walk,LAD,NYM,4-Seam Fastball,97.7,,,,,-2.29,53.01,12.0,R,3,2,0,9
640455,strikeout,LAD,NYM,4-Seam Fastball,92.0,,,,,4.53,53.9,2.0,L,2,2,0,1
673540,single,LAD,NYM,Cutter,90.7,102.4,-15.0,9.0,ground_ball,-2.3,54.08,5.0,R,0,0,1,2
676130,walk,LAD,NYM,Sinker,93.9,,,,,-2.73,54.39,11.0,R,3,0,1,8
656849,single,LAD,NYM,Curveball,80.5,116.5,18.0,381.0,line_drive,2.11,53.65,5.0,L,1,0,1,4
664849,field_out,LAD,NYM,Sinker,92.4,103.1,26.0,393.0,fly_ball,3.3,54.55,8.0,L,2,2,1,6
673540,field_out,LAD,NYM,Cutter,92.8,90.6,-31.0,4.0,ground_ball,-2.07,54.02,4.0,R,1,0,0,1
506433,strikeout,LAD,SD,Curveball,71.4,,,,,-1.6,54.01,11.0,R,1,2,1,6
506433,field_out,LAD,SD,Cutter,92.1,94.4,69.0,142.0,popup,-2.19,54.06,5.0,R,1,1,1,3
506433,strikeout,LAD,SD,Slider,87.4,,,,,-1.95,54.15,14.0,R,3,2,0,1
656945,strikeout,LAD,SD,4-Seam Fastball,99.1,,,,,2.39,54.19,5.0,L,0,2,2,8
656302,single,SD,LAD,Sweeper,84.8,91.4,5.0,89.0,ground_ball,-1.46,54.01,11.0,R,0,0,2,2
669093,walk,SD,LAD,Split-Finger,84.7,,,,,-0.42,53.39,13.0,R,3,2,2,6
593974,strikeout,SD,LAD,Sinker,94.6,,,,,1.08,54.85,14.0,L,3,2,0,8
670970,walk,SD,LAD,Sinker,96.0,,,,,2.03,54.13,12.0,L,3,0,1,4
656302,field_out,SD,LAD,4-Seam Fastball,98.8,89.0,-15.0,10.0,ground_ball,-1.03,54.12,5.0,R,2,2,0,1
650633,field_out,SD,LAD,Sweeper,82.3,103.5,31.0,385.0,fly_ball,-3.37,54.75,4.0,R,3,2,0,5
650633,single,SD,LAD,Changeup,88.1,77.1,21.0,224.0,line_drive,-3.29,54.24,4.0,R,1,1,0,3
656945,strikeout,SD,LAD,Slider,90.3,,,,,2.36,54.03,1.0,L,2,2,0,8
650633,strikeout,SD,LAD,Sweeper,83.8,,,,,-3.25,54.36,14.0,R,2,2,0,1
506433,field_out,LAD,SD,Curveball,73.0,46.9,-77.0,1.0,ground_ball,-1.52,53.8,5.0,R,3,2,0,6
506433,field_out,LAD,SD,Split-Finger,88.1,90.2,-3.0,22.0,ground_ball,-2.02,53.91,7.0,R,2,1,1,3
656945,strikeout,LAD,SD,4-Seam Fastball,97.0,,,,,2.42,54.27,12.0,L,0,2,1,8
506433,strikeout,LAD,SD,Slider,87.2,,,,,-2.24,54.05,13.0,R,2,2,0,1
656302,home_run,LAD,SD,4-Seam Fastball,96.9,111.8,25.0,372.0,fly_ball,-1.06,53.99,2.0,R,2,1,2,2
656945,strikeout,LAD,SD,4-Seam Fastball,97.4,,,,,2.38,54.1,12.0,L,2,2,1,8
670970,single,LAD,SD,Sinker,98.4,67.8,28.0,217.0,fly_ball,2.1,54.02,12.0,L,3,2,1,4
656302,field_out,LAD,SD,4-Seam Fastball,99.4,82.7,46.0,249.0,fly_ball,-0.93,54.19,12.0,R,2,2,0,1
592094,strikeout,LAD,SD,Changeup,89.6,,,,,-1.06,54.17,14.0,R,0,2,0,6
663372,field_out,COL,LAD,4-Seam Fastball,94.3,98.5,-5.0,17.0,ground_ball,-1.16,53.87,14.0,R,0,1,2,6
663372,field_out,COL,LAD,4-Seam Fastball,95.4,106.5,-2.0,43.0,ground_ball,-1.37,54.03,4.0,R,3,1,0,4
680767,single,COL,LAD,4-Seam Fastball,99.3,110.8,14.0,247.0,line_drive,-2.56,53.57,8.0,R,1,1,1,8
663372,field_out,COL,LAD,Changeup,85.4,77.3,11.0,134.0,ground_ball,-1.45,54.22,13.0,R,2,2,0,1
622608,walk,COL,LAD,4-Seam Fastball,95.9,,,,,-2.36,54.49,11.0,R,3,2,0,5
683409,field_out,COL,LAD,Slider,89.8,100.2,19.0,308.0,line_drive,-1.47,54.2,3.0,R,1,2,2,7
664875,field_out,COL,LAD,Sinker,95.2,96.9,-23.0,4.0,ground_ball,-2.97,54.21,14.0,R,1,1,0,9
622608,field_out,COL,LAD,Slider,87.4,80.5,0.0,36.0,ground_ball,-2.4,54.63,7.0,R,0,0,2,2
676105,single,COL,LAD,4-Seam Fastball,95.6,108.2,3.0,76.0,ground_ball,-3.16,54.09,8.0,R,3,2,0,6
622608,single,COL,LAD,Slider,85.1,111.3,18.0,365.0,line_drive,-2.44,54.57,4.0,R,1,1,0,1
615698,single,COL,LAD,Split-Finger,86.3,96.7,-10.0,13.0,ground_ball,-1.59,53.69,4.0,R,2,1,1,2
683627,home_run,COL,LAD,Changeup,86.5,103.4,34.0,436.0,fly_ball,-1.64,54.39,2.0,R,3,2,0,6
683627,single,COL,LAD,Curveball,83.3,111.8,13.0,217.0,line_drive,-1.89,54.29,9.0,R,2,1,1,4
615698,field_out,COL,LAD,4-Seam Fastball,94.7,101.9,-22.0,8.0,ground_ball,-1.44,54.04,1.0,R,0,0,0,1
678821,double,COL,LAD,4-Seam Fastball,95.1,102.7,7.0,142.0,ground_ball,2.29,54.27,8.0,L,0,0,0,8
605397,single,LAD,SD,Curveball,82.2,102.8,5.0,89.0,ground_ball,-1.17,54.41,5.0,R,1,1,0,6
605397,field_out,LAD,SD,Curveball,83.2,82.7,-35.0,3.0,ground_ball,-1.09,54.59,13.0,R,0,2,2,3
656945,single,LAD,SD,Slider,86.4,88.3,-8.0,19.0,ground_ball,2.42,54.14,1.0,L,1,0,1,7
605397,field_out,LAD,SD,4-Seam Fastball,94.8,89.7,8.0,138.0,ground_ball,-1.31,54.65,11.0,R,1,2,0,1
673513,double,LAD,SD,Slider,85.9,78.0,43.0,229.0,fly_ball,2.04,54.45,7.0,L,0,1,2,8
656302,double,LAD,SD,Slider,89.7,116.8,21.0,362.0,line_drive,-1.45,54.24,5.0,R,0,0,2,4
656302,strikeout,LAD,SD,4-Seam Fastball,98.9,,,,,-1.16,54.25,5.0,R,3,2,0,3
670970,single,LAD,SD,Sinker,96.1,108.6,1.0,63.0,ground_ball,2.07,54.0,1.0,L,2,2,2,6
656302,walk,LAD,SD,4-Seam Fastball,98.4,,,,,-0.95,54.27,12.0,R,3,0,0,1
650633,field_out,LAD,SD,Slider,84.8,78.6,35.0,249.0,fly_ball,-3.13,54.49,9.0,R,2,1,1,5
650633,walk,LAD,SD,Slider,84.6,,,,,-3.2,54.32,9.0,R,3,2,2,2
656945,strikeout,LAD,SD,4-Seam Fastball,98.6,,,,,2.43,54.24,12.0,L,0,2,2,7
650633,double,LAD,SD,4-Seam Fastball,93.7,110.4,21.0,301.0,line_drive,-3.15,54.4,3.0,R,0,0,0,1
622608,field_out,LAD,COL,Changeup,88.0,99.1,-2.0,33.0,ground_ball,-2.4,54.22,6.0,R,1,0,2,5
622608,single,LAD,COL,4-Seam Fastball,96.4,105.9,-12.0,9.0,ground_ball,-1.98,54.27,7.0,R,3,2,1,3
677955,single,LAD,COL,Changeup,85.4,88.2,-1.0,29.0,ground_ball,-1.33,53.97,7.0,R,0,0,1,7
622608,single,LAD,COL,4-Seam Fastball,96.1,91.4,17.0,255.0,line_drive,-1.86,54.41,4.0,R,3,2,0,1
678020,home_run,LAD,COL,Split-Finger,88.7,114.7,20.0,432.0,line_drive,-2.85,53.64,8.0,R,2,1,0,9
615698,strikeout,LAD,COL,4-Seam Fastball,94.4,,,,,-1.06,53.68,8.0,R,2,2,2,4
615698,walk,LAD,COL,Sinker,92.5,,,,,-1.25,54.05,11.0,R,3,0,2,3
678821,hit_by_pitch,LAD,COL,Curveball,82.1,,,,,2.4,54.54,12.0,L,0,0,1,6
615698,field_out,LAD,COL,4-Seam Fastball,93.8,102.4,3.0,94.0,ground_ball,-1.28,54.02,11.0,R,2,2,0,1
678020,single,LAD,COL,4-Seam Fastball,98.4,87.0,24.0,308.0,line_drive,-2.37,53.68,13.0,R,0,0,0,9
607536,home_run,LAD,COL,4-Seam Fastball,92.1,110.1,27.0,423.0,fly_ball,2.38,53.91,12.0,L,3,2,2,5
607536,single,LAD,COL,Cutter,87.3,87.6,9.0,135.0,ground_ball,2.47,53.88,7.0,L,3,2,2,3
677955,single,LAD,COL,Changeup,85.8,92.3,-1.0,38.0,ground_ball,-1.25,53.99,4.0,R,2,2,1,7
607536,strikeout,LAD,COL,Knuckle Curve,82.4,,,,,2.68,53.9,13.0,L,1,2,0,1
665795,single,MIA,LAD,Changeup,93.5,97.1,12.0,183.0,line_drive,-1.24,53.64,8.0,R,1,0,2,2
666277,home_run,MIA,LAD,Slider,85.4,111.2,36.0,438.0,fly_ball,-1.96,54.26,8.0,R,0,1,1,6
657508,home_run,MIA,LAD,Knuckle Curve,89.1,109.7,27.0,391.0,fly_ball,-2.01,53.95,4.0,R,1,2,2,7
