pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
543037,field_out,NYY,LAD,Knuckle Curve,83.3,79.1,7.0,102.0,ground_ball
543037,strikeout,NYY,LAD,Knuckle Curve,87.3,,,,
543037,field_out,NYY,LAD,Changeup,90.4,88.2,29.0,317.0,fly_ball
596133,catcher_interf,NYY,LAD,Changeup,89.7,,,,
543037,field_out,NYY,LAD,4-Seam Fastball,95.6,93.2,45.0,289.0,fly_ball
661563,field_out,NYY,LAD,Slider,86.6,102.0,30.0,379.0,fly_ball
643410,strikeout,NYY,LAD,Split-Finger,85.7,,,,
661563,field_out,NYY,LAD,Slider,87.5,83.9,58.0,173.0,popup
657612,single,NYY,LAD,Sinker,88.9,103.8,14.0,266.0,line_drive
657376,field_out,NYY,LAD,Sinker,95.9,103.9,-17.0,9.0,ground_ball
641482,strikeout,NYY,LAD,Cutter,88.2,,,,
657612,field_out,NYY,LAD,4-Seam Fastball,90.8,57.4,72.0,70.0,popup
657376,walk,NYY,LAD,Cutter,93.4,,,,
596133,hit_by_pitch,NYY,LAD,Cutter,91.8,,,,
607074,strikeout,LAD,NYY,Slider,89.1,,,,
605280,walk,LAD,NYY,Sinker,97.0,,,,
664776,field_out,LAD,NYY,Sinker,94.4,101.1,-22.0,5.0,ground_ball
607074,field_out,LAD,NYY,4-Seam Fastball,96.8,109.5,48.0,315.0,fly_ball
543037,field_out,LAD,NYY,Changeup,89.8,60.2,-61.0,2.0,ground_ball
543037,strikeout,LAD,NYY,Knuckle Curve,84.4,,,,
592454,double,LAD,NYY,Changeup,87.1,113.9,19.0,377.0,line_drive
543037,field_out,LAD,NYY,4-Seam Fastball,95.8,106.0,36.0,372.0,fly_ball
641482,field_out,LAD,NYY,4-Seam Fastball,92.4,83.3,48.0,234.0,fly_ball
640455,strikeout,LAD,NYM,4-Seam Fastball,94.2,,,,
673540,walk,LAD,NYM,4-Seam Fastball,96.7,,,,
592773,single,LAD,NYM,4-Seam Fastball,98.4,79.7,25.0,265.0,line_drive
640455,single,LAD,NYM,4-Seam Fastball,92.1,102.5,-3.0,28.0,ground_ball
621242,field_out,LAD,NYM,4-Seam Fastball,96.5,86.0,83.0,28.0,popup
656849,single,NYM,LAD,Slider,85.0,68.6,41.0,208.0,popup
656849,walk,NYM,LAD,Sinker,94.5,,,,
621242,strikeout,NYM,LAD,4-Seam Fastball,99.2,,,,
592773,strikeout,NYM,LAD,4-Seam Fastball,98.0,,,,
656849,single,NYM,LAD,Curveball,83.3,101.9,-5.0,18.0,ground_ball
500779,walk,NYM,LAD,Changeup,85.1,,,,
500779,walk,NYM,LAD,Changeup,86.8,,,,
664849,strikeout,NYM,LAD,Sinker,91.7,,,,
676130,walk,NYM,LAD,Changeup,87.0,,,,
664849,field_out,NYM,LAD,Sweeper,82.2,50.7,-32.0,3.0,ground_ball
500779,home_run,NYM,LAD,Sinker,90.8,117.8,22.0,422.0,fly_ball
622663,field_out,NYM,LAD,Sweeper,85.2,96.2,47.0,266.0,fly_ball
622663,walk,NYM,LAD,4-Seam Fastball,96.7,,,,
656731,home_run,NYM,LAD,Cutter,89.0,115.9,37.0,397.0,fly_ball
657585,strikeout,NYM,LAD,Cutter,92.4,,,,
622663,field_out,NYM,LAD,4-Seam Fastball,95.0,99.8,-7.0,15.0,ground_ball
640455,field_out,LAD,NYM,Sweeper,79.3,73.5,68.0,120.0,popup
640455,strikeout,LAD,NYM,4-Seam Fastball,92.6,,,,
664208,walk,LAD,NYM,Cutter,87.9,,,,
621242,walk,LAD,NYM,4-Seam Fastball,97.7,,,,
640455,strikeout,LAD,NYM,4-Seam Fastball,92.0,,,,
673540,single,LAD,NYM,Cutter,90.7,102.4,-15.0,9.0,ground_ball
676130,walk,LAD,NYM,Sinker,93.9,,,,
656849,single,LAD,NYM,Curveball,80.5,116.5,18.0,381.0,line_drive
664849,field_out,LAD,NYM,Sinker,92.4,103.1,26.0,393.0,fly_ball
673540,field_out,LAD,NYM,Cutter,92.8,90.6,-31.0,4.0,ground_ball
506433,strikeout,LAD,SD,Curveball,71.4,,,,
506433,field_out,LAD,SD,Cutter,92.1,94.4,69.0,142.0,popup
506433,strikeout,LAD,SD,Slider,87.4,,,,
656945,strikeout,LAD,SD,4-Seam Fastball,99.1,,,,
656302,single,SD,LAD,Sweeper,84.8,91.4,5.0,89.0,ground_ball
669093,walk,SD,LAD,Split-Finger,84.7,,,,
593974,strikeout,SD,LAD,Sinker,94.6,,,,
670970,walk,SD,LAD,Sinker,96.0,,,,
656302,field_out,SD,LAD,4-Seam Fastball,98.8,89.0,-15.0,10.0,ground_ball
650633,field_out,SD,LAD,Sweeper,82.3,103.5,31.0,385.0,fly_ball
650633,single,SD,LAD,Changeup,88.1,77.1,21.0,224.0,line_drive
656945,strikeout,SD,LAD,Slider,90.3,,,,
650633,strikeout,SD,LAD,Sweeper,83.8,,,,
506433,field_out,LAD,SD,Curveball,73.0,46.9,-77.0,1.0,ground_ball
506433,field_out,LAD,SD,Split-Finger,88.1,90.2,-3.0,22.0,ground_ball
656945,strikeout,LAD,SD,4-Seam Fastball,97.0,,,,
506433,strikeout,LAD,SD,Slider,87.2,,,,
656302,home_run,LAD,SD,4-Seam Fastball,96.9,111.8,25.0,372.0,fly_ball
656945,strikeout,LAD,SD,4-Seam Fastball,97.4,,,,
670970,single,LAD,SD,Sinker,98.4,67.8,28.0,217.0,fly_ball
656302,field_out,LAD,SD,4-Seam Fastball,99.4,82.7,46.0,249.0,fly_ball
592094,strikeout,LAD,SD,Changeup,89.6,,,,
663372,field_out,COL,LAD,4-Seam Fastball,94.3,98.5,-5.0,17.0,ground_ball
663372,field_out,COL,LAD,4-Seam Fastball,95.4,106.5,-2.0,43.0,ground_ball
680767,single,COL,LAD,4-Seam Fastball,99.3,110.8,14.0,247.0,line_drive
663372,field_out,COL,LAD,Changeup,85.4,77.3,11.0,134.0,ground_ball
622608,walk,COL,LAD,4-Seam Fastball,95.9,,,,
683409,field_out,COL,LAD,Slider,89.8,100.2,19.0,308.0,line_drive
664875,field_out,COL,LAD,Sinker,95.2,96.9,-23.0,4.0,ground_ball
622608,field_out,COL,LAD,Slider,87.4,80.5,0.0,36.0,ground_ball
676105,single,COL,LAD,4-Seam Fastball,95.6,108.2,3.0,76.0,ground_ball
622608,single,COL,LAD,Slider,85.1,111.3,18.0,365.0,line_drive
615698,single,COL,LAD,Split-Finger,86.3,96.7,-10.0,13.0,ground_ball
683627,home_run,COL,LAD,Changeup,86.5,103.4,34.0,436.0,fly_ball
683627,single,COL,LAD,Curveball,83.3,111.8,13.0,217.0,line_drive
678821,double,COL,LAD,4-Seam Fastball,95.1,102.7,7.0,142.0,ground_ball
615698,field_out,COL,LAD,4-Seam Fastball,94.7,101.9,-22.0,8.0,ground_ball
605397,single,LAD,SD,Curveball,82.2,102.8,5.0,89.0,ground_ball
605397,field_out,LAD,SD,Curveball,83.2,82.7,-35.0,3.0,ground_ball
656945,single,LAD,SD,Slider,86.4,88.3,-8.0,19.0,ground_ball
605397,field_out,LAD,SD,4-Seam Fastball,94.8,89.7,8.0,138.0,ground_ball
673513,double,LAD,SD,Slider,85.9,78.0,43.0,229.0,fly_ball
656302,double,LAD,SD,Slider,89.7,116.8,21.0,362.0,line_drive
656302,strikeout,LAD,SD,4-Seam Fastball,98.9,,,,
670970,single,LAD,SD,Sinker,96.1,108.6,1.0,63.0,ground_ball
656302,walk,LAD,SD,4-Seam Fastball,98.4,,,,
650633,field_out,LAD,SD,Slider,84.8,78.6,35.0,249.0,fly_ball
650633,walk,LAD,SD,Slider,84.6,,,,
656945,strikeout,LAD,SD,4-Seam Fastball,98.6,,,,
650633,double,LAD,SD,4-Seam Fastball,93.7,110.4,21.0,301.0,line_drive
622608,field_out,LAD,COL,Changeup,88.0,99.1,-2.0,33.0,ground_ball
622608,single,LAD,COL,4-Seam Fastball,96.4,105.9,-12.0,9.0,ground_ball
677955,single,LAD,COL,Changeup,85.4,88.2,-1.0,29.0,ground_ball
622608,single,LAD,COL,4-Seam Fastball,96.1,91.4,17.0,255.0,line_drive
678020,home_run,LAD,COL,Split-Finger,88.7,114.7,20.0,432.0,line_drive
615698,strikeout,LAD,COL,4-Seam Fastball,94.4,,,,
615698,walk,LAD,COL,Sinker,92.5,,,,
678821,hit_by_pitch,LAD,COL,Curveball,82.1,,,,
615698,field_out,LAD,COL,4-Seam Fastball,93.8,102.4,3.0,94.0,ground_ball
678020,single,LAD,COL,4-Seam Fastball,98.4,87.0,24.0,308.0,line_drive
607536,home_run,LAD,COL,4-Seam Fastball,92.1,110.1,27.0,423.0,fly_ball
607536,single,LAD,COL,Cutter,87.3,87.6,9.0,135.0,ground_ball
677955,single,LAD,COL,Changeup,85.8,92.3,-1.0,38.0,ground_ball
607536,strikeout,LAD,COL,Knuckle Curve,82.4,,,,
665795,single,MIA,LAD,Changeup,93.5,97.1,12.0,183.0,line_drive
666277,home_run,MIA,LAD,Slider,85.4,111.2,36.0,438.0,fly_ball
657508,home_run,MIA,LAD,Knuckle Curve,89.1,109.7,27.0,391.0,fly_ball
660644,home_run,MIA,LAD,Other,68.3,113.6,36.0,440.0,fly_ball
685107,double,MIA,LAD,4-Seam Fastball,95.2,105.1,15.0,266.0,line_drive
665795,double,MIA,LAD,Changeup,94.8,114.6,20.0,395.0,line_drive
677960,strikeout,MIA,LAD,4-Seam Fastball,96.6,,,,
